date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2014-02-03,1919.96 ,-0.0109 ,2021 ,-4064 ,2053 ,957 ,-66 ,396 ,68 ,164 ,707 ,-125 ,-48 ,-7 
2014-01-29,1941.15 ,0.0126 ,-2067 ,210 ,1808 ,263 ,171 ,876 ,-7 ,33 ,459 ,11 ,3 ,49 
2014-01-28,1916.93 ,0.0034 ,145 ,-3101 ,2892 ,949 ,-87 ,432 ,-9 ,8 ,1363 ,177 ,59 ,52 
2014-01-27,1910.34 ,-0.0156 ,-21 ,-5245 ,5282 ,1810 ,690 ,1659 ,14 ,121 ,416 ,498 ,75 ,47 
2014-01-24,1940.56 ,-0.0036 ,2074 ,-1420 ,-776 ,1052 ,374 ,72 ,1 ,-41 ,-2041 ,-121 ,-71 ,154 
2014-01-23,1947.59 ,-0.0116 ,1994 ,-1613 ,-388 ,151 ,-135 ,81 ,-5 ,-74 ,-174 ,-224 ,-8 ,-22 
2014-01-22,1970.42 ,0.0033 ,-750 ,158 ,499 ,-215 ,222 ,331 ,-19 ,-34 ,280 ,-97 ,31 ,57 
2014-01-21,1963.89 ,0.0052 ,-547 ,-102 ,593 ,-414 ,362 ,18 ,19 ,-58 ,327 ,318 ,22 ,95 
2014-01-20,1953.78 ,0.0048 ,-304 ,-262 ,479 ,208 ,86 ,-191 ,-25 ,-11 ,248 ,203 ,-40 ,88 
2014-01-17,1944.48 ,-0.0066 ,725 ,-963 ,3 ,3 ,70 ,132 ,-41 ,58 ,290 ,-483 ,-26 ,229 
2014-01-16,1957.32 ,0.0021 ,-628 ,367 ,550 ,-208 ,-47 ,684 ,8 ,-29 ,-86 ,224 ,4 ,-273 
2014-01-15,1953.28 ,0.0037 ,539 ,-381 ,-240 ,-672 ,58 ,309 ,-34 ,40 ,180 ,-77 ,-45 ,68 
2014-01-14,1946.07 ,-0.0015 ,668 ,-273 ,-583 ,-639 ,-661 ,165 ,-43 ,29 ,503 ,0 ,62 ,161 
2014-01-13,1948.92 ,0.0054 ,216 ,-954 ,676 ,-475 ,-213 ,723 ,26 ,107 ,480 ,21 ,8 ,11 
2014-01-10,1938.54 ,-0.0039 ,1784 ,-581 ,-1431 ,-2564 ,77 ,423 ,-8 ,-7 ,767 ,-144 ,24 ,228 
2014-01-09,1946.11 ,-0.0066 ,1711 ,716 ,-2716 ,-3484 ,-553 ,391 ,135 ,283 ,556 ,-40 ,-4 ,316 
2014-01-08,1958.96 ,-0.0002 ,-517 ,1664 ,-1175 ,-759 ,-63 ,-230 ,-26 ,64 ,-204 ,49 ,-5 ,74 
2014-01-07,1959.44 ,0.0032 ,-572 ,1010 ,-468 ,-670 ,-334 ,524 ,-10 ,41 ,82 ,-133 ,33 ,47 
2014-01-06,1953.28 ,0.0037 ,522 ,517 ,-1140 ,-1395 ,-56 ,341 ,9 ,100 ,-33 ,55 ,-162 ,90 
2014-01-03,1946.14 ,-0.0107 ,4216 ,-3121 ,-1354 ,-2424 ,-458 ,656 ,135 ,-155 ,1347 ,-425 ,-30 ,230 
2014-01-02,1967.19 ,-0.0220 ,4733 ,-3136 ,-1750 ,-1176 ,269 ,7 ,-47 ,14 ,-79 ,-653 ,-84 ,81 
2013-12-30,2011.34 ,0.0045 ,-1437 ,1167 ,193 ,144 ,-642 ,563 ,19 ,-180 ,235 ,-127 ,181 ,24 
2013-12-27,2002.28 ,0.0015 ,50 ,707 ,-710 ,-661 ,83 ,-583 ,-32 ,-130 ,258 ,293 ,62 ,-41 
2013-12-26,1999.30 ,-0.0011 ,-6144 ,-121 ,6287 ,3238 ,1089 ,1537 ,-68 ,-83 ,130 ,653 ,-208 ,-3 
2013-12-24,2001.59 ,0.0024 ,-3859 ,-545 ,4564 ,1920 ,1253 ,596 ,35 ,-264 ,752 ,227 ,47 ,-157 
2013-12-23,1996.89 ,0.0068 ,-2636 ,716 ,2238 ,1411 ,435 ,536 ,14 ,-163 ,100 ,-148 ,53 ,-212 
2013-12-20,1983.35 ,0.0039 ,-1832 ,-171 ,2054 ,1066 ,-130 ,817 ,153 ,-205 ,396 ,-27 ,-16 ,-59 
2013-12-19,1975.65 ,0.0005 ,-1766 ,1085 ,841 ,880 ,-288 ,22 ,167 ,-64 ,385 ,-101 ,-161 ,-104 
2013-12-18,1974.63 ,0.0045 ,-1285 ,-1237 ,2652 ,1680 ,102 ,1031 ,31 ,7 ,-47 ,-93 ,-59 ,-31 
2013-12-17,1965.74 ,0.0023 ,-771 ,530 ,945 ,268 ,243 ,396 ,16 ,2987 ,13 ,113 ,-3092 ,-657 
2013-12-16,1961.15 ,-0.0009 ,-266 ,-624 ,863 ,332 ,-122 ,411 ,15 ,24 ,120 ,35 ,47 ,37 
2013-12-13,1962.91 ,-0.0026 ,1001 ,-2657 ,5283 ,698 ,2696 ,953 ,6 ,66 ,466 ,81 ,316 ,-3580 
2013-12-12,1967.93 ,-0.0051 ,3046 ,-6071 ,5932 ,885 ,973 ,1091 ,25 ,866 ,1512 ,526 ,55 ,-2849 
2013-12-11,1977.97 ,-0.0078 ,1089 ,-2029 ,908 ,-323 ,25 ,414 ,-22 ,144 ,733 ,-45 ,-18 ,79 
2013-12-10,1993.45 ,-0.0035 ,-30 ,-1132 ,1114 ,-61 ,-22 ,123 ,26 ,-2 ,815 ,230 ,6 ,123 
2013-12-09,2000.38 ,0.0101 ,-1657 ,833 ,807 ,-198 ,299 ,575 ,24 ,-141 ,170 ,60 ,18 ,168 
2013-12-06,1980.41 ,-0.0022 ,301 ,-767 ,407 ,-128 ,-284 ,-264 ,-12 ,-5 ,1073 ,-18 ,45 ,106 
2013-12-05,1984.77 ,-0.0010 ,2581 ,-3369 ,535 ,-1139 ,14 ,559 ,-32 ,-10 ,902 ,154 ,88 ,252 
2013-12-04,1986.80 ,-0.0112 ,2985 ,-3379 ,1611 ,-719 ,473 ,677 ,54 ,41 ,577 ,57 ,450 ,-1230 
2013-12-03,2009.36 ,-0.0105 ,2249 ,-500 ,-1683 ,-1238 ,-58 ,-484 ,18 ,-101 ,589 ,-398 ,-10 ,-33 
2013-12-02,2030.78 ,-0.0069 ,1772 ,536 ,-2250 ,-249 ,47 ,-1229 ,-30 ,-177 ,-283 ,-208 ,-122 ,-50 
2013-11-29,2044.87 ,-0.0004 ,-527 ,892 ,-490 ,595 ,-201 ,-1731 ,-33 ,-195 ,1005 ,-159 ,229 ,114 
2013-11-28,2045.77 ,0.0084 ,-4176 ,1626 ,2692 ,3422 ,-190 ,-356 ,-26 ,-358 ,138 ,-74 ,137 ,-123 
2013-11-27,2028.81 ,0.0031 ,-1010 ,434 ,1073 ,1859 ,-108 ,413 ,4 ,37 ,893 ,-120 ,-1904 ,-482 
2013-11-26,2022.64 ,0.0033 ,-361 ,94 ,203 ,473 ,-489 ,46 ,14 ,-4 ,114 ,7 ,42 ,59 
2013-11-25,2015.98 ,0.0049 ,-1438 ,848 ,740 ,571 ,-17 ,522 ,-11 ,-122 ,-259 ,83 ,-26 ,-165 
2013-11-22,2006.23 ,0.0062 ,-834 ,-232 ,1046 ,-122 ,-17 ,285 ,-5 ,-150 ,580 ,315 ,161 ,50 
2013-11-21,1993.78 ,-0.0116 ,2551 ,-2293 ,-561 ,-1159 ,12 ,-83 ,0 ,54 ,603 ,-318 ,330 ,292 
2013-11-20,2017.24 ,-0.0071 ,1004 ,867 ,-1074 ,1515 ,1016 ,327 ,13 ,-91 ,256 ,489 ,-4599 ,-802 
2013-11-19,2031.64 ,0.0104 ,-3679 ,2479 ,1355 ,465 ,525 ,207 ,-280 ,-91 ,250 ,324 ,-45 ,-134 
2013-11-18,2010.81 ,0.0026 ,-453 ,-110 ,612 ,-364 ,198 ,480 ,-5 ,-132 ,397 ,11 ,25 ,-26 
2013-11-15,2005.64 ,0.0194 ,-2432 ,605 ,1864 ,-485 ,512 ,1158 ,31 ,-71 ,149 ,497 ,72 ,-18 
2013-11-14,1967.56 ,0.0020 ,1494 ,-700 ,-867 ,-1646 ,-999 ,394 ,13 ,-12 ,1175 ,100 ,108 ,31 
2013-11-13,1963.56 ,-0.0160 ,2319 ,-1854 ,-539 ,-638 ,-432 ,317 ,17 ,100 ,223 ,-143 ,16 ,71 
2013-11-12,1995.48 ,0.0092 ,-388 ,-76 ,401 ,-355 ,-553 ,403 ,-8 ,7 ,607 ,146 ,153 ,88 
2013-11-11,1977.30 ,-0.0038 ,915 ,-643 ,-94 ,-298 ,-494 ,223 ,-17 ,-187 ,453 ,-77 ,304 ,-169 
2013-11-08,1984.87 ,-0.0096 ,2079 ,-2702 ,900 ,-717 ,-266 ,646 ,34 ,-15 ,1255 ,-93 ,57 ,-283 
2013-11-07,2004.04 ,-0.0048 ,1765 ,-553 ,-1160 ,-1548 ,260 ,-170 ,-11 ,-87 ,577 ,-43 ,-139 ,-37 
